#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	modbus
#open	2022-06-20-11-01-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	func	exception
#types	time	string	addr	port	addr	port	string	string
1593264449.423417	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.426671	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.429992	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.433371	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.436683	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.439916	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.443282	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.446591	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.449849	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.453266	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.456512	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.459797	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.463104	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.466542	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.469893	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.473240	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.476547	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.479804	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.483110	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.486574	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.489826	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.493169	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.496473	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264449.998047	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
1593264450.001366	CDhr1i1Owrvtpb8XPc	123.145.120.99	23680	123.145.120.102	502	WRITE_SINGLE_COIL	-
