"No.","Time","Source","Destination","Protocol","Info"
"1644207","1593265513.378811","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 10646; Unit:   1, Func:   5: Write Single Coil"
"1644213","1593265513.382150","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 10646; Unit:   1, Func:   5: Write Single Coil"
"1644214","1593265513.382260","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 65050; Unit:   1, Func:   5: Write Single Coil"
"1644222","1593265513.385562","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 65050; Unit:   1, Func:   5: Write Single Coil"
"1644223","1593265513.385683","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 27243; Unit:   1, Func:   5: Write Single Coil"
"1644233","1593265513.388760","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 27243; Unit:   1, Func:   5: Write Single Coil"
"1644234","1593265513.388817","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 31267; Unit:   1, Func:   5: Write Single Coil"
"1644241","1593265513.392215","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 31267; Unit:   1, Func:   5: Write Single Coil"
"1644242","1593265513.392217","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 56669; Unit:   1, Func:   5: Write Single Coil"
"1644246","1593265513.395461","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 56669; Unit:   1, Func:   5: Write Single Coil"
"1644247","1593265513.395526","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 16913; Unit:   1, Func:   5: Write Single Coil"
"1644252","1593265513.398734","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 16913; Unit:   1, Func:   5: Write Single Coil"
"1644253","1593265513.398790","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 32727; Unit:   1, Func:   5: Write Single Coil"
"1644260","1593265513.402196","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 32727; Unit:   1, Func:   5: Write Single Coil"
"1644261","1593265513.402209","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 29851; Unit:   1, Func:   5: Write Single Coil"
"1644267","1593265513.405596","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 29851; Unit:   1, Func:   5: Write Single Coil"
"1644268","1593265513.405607","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 27308; Unit:   1, Func:   5: Write Single Coil"
"1644278","1593265513.408790","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 27308; Unit:   1, Func:   5: Write Single Coil"
"1644279","1593265513.408846","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 13202; Unit:   1, Func:   5: Write Single Coil"
"1644286","1593265513.412244","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 13202; Unit:   1, Func:   5: Write Single Coil"
